"SIREN","Dénomination","Forme_juridique","NAF","Libellé_NAF","Effectif","Ville","Département","Date_création","Dirigeant_prénom","Dirigeant_nom","Dirigeant_poste","Téléphone","Email_direct","Google_Maps_URL","Site_web","LinkedIn_entreprise","LinkedIn_décideur","Email_pattern_1","Email_pattern_2","Profil_DISC_estime","Signaux_DISC","Confiance_DISC","Signal_business","Score_pertinence","Statut_enrichissement","Date_génération","Bonus_mots_cles_ERP","Adresse_siege","SIRET_siege","Niveau_preuve_Flex","Source_Flex_preuve","URL_preuve_Flex","Confiance_match_GMaps","Nom_lieu_Google"
"825070121","SYXPERIANE GROUP","SAS","62.02A","Conseil en systèmes et logiciels informatiques","10 à 19","BRIGNAIS","69","2016-12-30","","","","+33 9 74 90 79 07","","https://maps.google.com/?cid=9298643397551039518&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","https://syxperiane.com/","","","","","","","","Cegid_XRP_Flex","9","LEVEL_1","2026-05-05","9","1 ETANG 3 ROUTE DE LYON 69530 BRIGNAIS","82507012100090","A","Annuaire cegid.com : expert Cegid XRP Flex + XRP Ultimate","https://www.cegid.com/fr/partenaires-integrateurs","Haute","SYXPERIANE"
"837998798","CS INFO","SASU","62.02A","Conseil en systèmes et logiciels informatiques","","SAINT-SULPICE-LA-POINTE","81","2018-03-07","CYRIL CHRISTOPHE","SALMON","Gérant","+33 5 63 41 40 63","","https://maps.google.com/?cid=11158614572710654605&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","","","","","","","","","Cegid_XRP_Flex","9","LEVEL_1","2026-05-05","9","5 IMPASSE DU PIN 81370 SAINT-SULPICE-LA-POINTE","83799879800016","A","Annuaire cegid.com : intégrateur Cegid XRP Flex (Nantes)","https://www.cegid.com/fr/partenaires-integrateurs","Haute","RMS Informatique"
"909165466","LEBEL TECHNOLOGIES","SAS","71.12B","Ingénierie, études techniques","20 à 49","PARIS","75","2021-12-21","","","","+33 1 84 23 47 18","","https://maps.google.com/?cid=5394067015108621500&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","https://lebel.tech/","","","","","","","","Cegid_XRP_Flex","9","LEVEL_1","2026-05-05","9","25 RUE DE PONTHIEU 75008 PARIS","90916546600014","A","Annuaire cegid.com : solutions Isie et XRP Flex","https://www.cegid.com/fr/partenaires-integrateurs","Faible","Lebel Technologies"
"429370414","LCS GROUP","SAS","62.02A","Conseil en systèmes et logiciels informatiques","20 à 49","CLICHY","92","2000-01-01","","","","+33 1 80 42 02 00","","https://maps.google.com/?cid=15612095228667989521&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","http://www.lcsgroup.fr/","","","","","","","","Cegid_XRP_Flex","9","LEVEL_1","2026-05-05","9","94-98-BATIMENT F1 94 BOULEVARD VICTOR HUGO 92110 CLICHY","42937041400071","A","Directory partenaires Cegid : solution & services Cegid XRP Flex","https://partners.cegid.com/French/directory/partner/1326662/lcs-group","Haute","LCS Group"
"409070760","SRA SOLUTIONS","SAS","62.02A","Conseil en systèmes et logiciels informatiques","20 à 49","GRADIGNAN","33","1996-09-26","NICOLAS","NABHAN","Directeur Général","+33 5 57 12 30 00","","https://maps.google.com/?cid=11019476197482329446&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","https://www.groupe-sra.fr/","","","","","","","","Cegid_XRP_Flex","7","LEVEL_1","2026-05-05","7","26 CHEMIN DU SOLARIUM 33170 GRADIGNAN","40907076000031","B","Presse ChannelNews : réseau partenaires XRP Flex (SRA cité)","https://www.channelnews.fr/cegid-continue-dattirer-de-nouveaux-partenaires-pour-integrer-son-erp-xrp-flex-144410","Haute","SRA Bordeaux - Solutions de gestion"
"501170468","EVOGEST","SAS","85.59A","Formation continue pour adultes","20 à 49","ORGEVAL","78","2007-12-03","","","","+33 1 39 75 49 25","","https://maps.google.com/?cid=15206857962189760425&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","https://www.evogest.fr/","","","","","","","","Cegid_XRP_Flex","7","LEVEL_1","2026-05-05","7","136 CHEMIN DE LA CAVEE 78630 ORGEVAL","50117046800059","B","Presse ChannelNews : réseau Flex (Evogest cité)","https://www.channelnews.fr/cegid-continue-dattirer-de-nouveaux-partenaires-pour-integrer-son-erp-xrp-flex-144410","Haute","Evogest"
"823103148","RSM FRANCE RH","SAS","62.01Z","Programmation informatique","","LYON","69","2016-10-05","JEAN-MARC CHRISTIAN","MOREL","Directeur Général","+33 4 72 69 19 19","","https://maps.google.com/?cid=16308755044777523914&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","https://www.rsm.global/france/fr/a-propos-de-rsm/nous-contacter/nos-bureaux-rsm-france/lyon","","","","","","","","Cegid_XRP_Flex","7","LEVEL_1","2026-05-05","7","2 B RUE TETE D'OR 69006 LYON","82310314800024","B","Presse ChannelNews : « RSM France » (entité opérationnelle SI à confirmer terrain)","https://www.channelnews.fr/cegid-continue-dattirer-de-nouveaux-partenaires-pour-integrer-son-erp-xrp-flex-144410","Haute","RSM France - Lyon"
"379019482","PARTHENA CONSULTANT","SAS","62.02A","Conseil en systèmes et logiciels informatiques","100 à 199","BOULOGNE-BILLANCOURT","92","1990-08-06","THIERRY","CICILE","Commissaire aux comptes suppléant","+33 1 40 95 30 41","","https://maps.google.com/?cid=572138984976429076&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","https://www.parthena.com/fr/","","","","","","","","Cegid_XRP_Flex","7","LEVEL_1","2026-05-05","7","305 AVENUE LE JOUR SE LEVE 92100 BOULOGNE-BILLANCOURT","37901948200098","B","Presse ChannelNews : partenaires historiques recrutés sur la base du réseau Flex (Parthena)","https://www.channelnews.fr/cegid-double-son-reseau-de-partenaires-xrp-flex-pour-faire-face-a-la-demande-124611","Haute","Parthena Consultant"
"439548199","GROUPE ALTHAYS","SAS","62.02A","Conseil en systèmes et logiciels informatiques","20 à 49","ANNECY","74","2001-10-13","","","","+33 4 50 52 74 26","","https://maps.google.com/?cid=14999937782743649884&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","http://www.groupe-althays.com/","","","","","","","","Cegid_XRP_Flex","7","LEVEL_1","2026-05-05","7","ANNECY LE VIEUX 15 RUE DU PRE PAILLARD 74000 ANNECY","43954819900108","B","Presse ChannelNews : idem (Althays / Groupe Althays)","https://www.channelnews.fr/cegid-double-son-reseau-de-partenaires-xrp-flex-pour-faire-face-a-la-demande-124611","Faible","Groupe Althays"
"433036407","ALTICAP","SAS","62.09Z","Autres activités informatiques","10 à 19","COLOMBELLES","14","2000-10-01","","","","+33 2 31 29 43 80","","https://maps.google.com/?cid=6135719970919669270&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","http://www.alticap.com/","","","","","","","","Cegid_XRP_Flex","7","LEVEL_1","2026-05-05","7","6 ESP ANTON PHILIPS 14460 COLOMBELLES","43303640700081","B","Presse ChannelNews : idem (Alticap)","https://www.channelnews.fr/cegid-double-son-reseau-de-partenaires-xrp-flex-pour-faire-face-a-la-demande-124611","Haute","ALTICAP - AGENCE DE CAEN"
